ชื่อไทย,ชื่อสามัญ,ชื่อวิทยาศาสตร์,วงศ์ (Family),ถิ่นกำเนิด,รายละเอียด,อ้างอิง (Credit),ประเภท (Catalogy)
กระดี่นางฟ้า ,"Blue gourami, Cosby strain",Trichogaster trichopterus ,"Osphronemidae	",พบได้ในแหล่งน้ำนิ่งทุกภาคของประเทศไทย,เป็นปลาที่มีความปราดเปรียวและปรับตัวเข้ากับสภาพแวดล้อมได้ดี ได้รับความนิยมเลี้ยงเป็นปลาสวยงามเพราะมีสีสวยงาม มีความยาวเฉลี่ยประมาณ 12 ซม. ลักษณะมีลำตัวแบนข้างมาก เกล็ดมีขนาดเล็กละเอียด พื้นลำตัวมีสีฟ้าสลับด้วยลวดลายสีฟ้าอมน้ำเงินจนถึงดำ ครีบอกมีลักษณะเรียวยาวคล้ายหนวด  ครีบหลังและครีบทวารมีก้านครีบที่แหลมคม ,ภาพ: อรุณี รอดรอย ข้อมูล:สุจินต์ หนูขวัญ และอรุณี รอดรอย,ปลาไทย
กริมสี,Pygmy gourami,Trichopsis pumila ,Osphronemidae,ตั้งแต่ลุ่มน้ำเจ้าพระยาจนถึงแม่น้ำบางปะกง และแม่น้ำโขงตอนล่าง และบริเวณพรุในภาคตะวันออก,เป็นปลากริมในบ้านเราที่สามารถนำมาเลี้ยงในตู้ปลาขนาดเล็กที่ตกแต่งด้วยพรรณไม้น้ำ ได้อย่างสวยงามมีขนาดใหญ่สุดความยาวประมาณ 4.5 ซม. ความยาวเฉลี่ยประมาณ 3 ซม. ลักษณะมีลำตัวแบนข้าง ส่วนหัวเรียว ปากเล็ก ตาโต เกล็ดเล็ก ครีบหลังเรียว ครีบหางปลายแหลมมีก้านครีบเป็นเส้นเรียว ครีบก้นมีฐานครีบยาว ครีบท้องเป็นเส้นยาว  ลำตัวมีสีน้ำตาลอ่อน มีแถบสีคล้ำพาดตามยาวตั้งแต่ปลายปากถึงโคนหาง มีจุดประสีแดงส้ม หรือน้ำตาลแดงบนครีบต่าง ๆ และลำตัว และมีจุดเหลือบสีฟ้าสดหรือเขียวอ่อนบนลำตัว ขอบตามีสีฟ้าวาว ด้านท้องสีจาง ,ภาพ: ชวลิต วิทยานนท์ ข้อมูล:สุจินต์ หนูขวัญ และอรุณี รอดรอย,ปลาไทย
"กริมควาย	",Croaking gourami,Trichopsis vittata ,Osphronemidae,แหล่งน้ำนิ่งทั่วไป ตั้งแต่แม่น้ำสาละวินถึงแม่น้ำโขง และบอร์เนียว,เป็นปลากริมที่พบบได้ทั่วไปในน้ำนิ่งประเทศไทย สามารถนำมาเลี้ยงในตู้พรรณไม้น้ำได้อย่างสวยงาม โตเต็มที่มีความยาวประมาณ 7 ซม. ลักษณะมีส่วนหัวค่อนข้างเรียว ปากเล็กเชิดขึ้นเล็กน้อย ลำตัวรูปไข่ทรงเรียวแบนข้างเล็กน้อย ครีบหลังอยู่ตอนกึ่งกลาง ครีบหางปลายแหลมยาวในตัวผู้ครีบก้นยาว ครีบท้องเล็กมีปลายเรียวยาว เกล็ดใหญ่ ไม่มีเส้นข้างตัว ลำตัวมีสีคล้ำอมน้ำตาลหรือน้ำตาลแดง มีแต้มกลมสีคล้ำที่เหนือครีบอก มีเหลือบสีเขียวอ่อน และมีจุดประสีแดงที่ครีบ ครีบก้นมีขอบสีแดงคล้ำ มีเหลือบสีเขียวอ่อนหรือฟ้าตามครีบในตัวผู้ ตามีสีฟ้าที่ม่านตา,ภาพ: ชวลิต วิทยานนท์ ข้อมูล:สุจินต์ หนูขวัญ และอรุณี รอดรอย,ปลาไทย
กระดี่โคบอลท์,Cobalt dwarf gourami,Trichogaster lalia ,Osphronemidae,เป็นปลาที่ได้จากการพัฒนาสายพันธุ์ จากการเพาะเลี้ยง,เป็นปลากระดี่ที่ถูกปรับปรุงสายพันธุ์ สามารถเลี้ยงในตู้ที่มีพรรณไม้น้ำ ตู้ธรรมดาที่ตกแต่งอย่างสวยงามและยังเลี้ยงร่วมปลาชนิดอื่นได้ ลักาณะมีลำตัวแบนข้างมาก ครีบหน้าอกยาว 2 ส้น ลำตัวสีฟ้า (โคบอลท์) ทั่งตัวรวมทั้งครีบทุกครีบ ครีบหางและ ครีบท้องขอบครีบมีสีดำ,ภาพและข้อมูล: อรุณี รอดลอยและคณะ,ปลาสวยงามเลี้ยงในตู้พรรณไม้น้ำ
กระดี่แดง,"Red Dwarf gourami, Honey gourami",Trichogaster chuna,Osphronemidae,ประเทศอินเดียและบังคลาเทศ,เป้นปลากระดี่สวยงามต่างประเทศที่สามารถเลี้ยงในตู้ที่มีพรรณไม้น้ำ ตู้ธรรมดาที่ตกแต่งอย่างสวยงามและยังเลี้ยงร่วมปลาชนิดอื่นได้ มีความยาวเฉลี่ยประมาณ 5-6 ซม. ลักษณะมีลำตัวสีส้มออกแดงไม่มีลายตามลำตัว ช่วงท้องสีจะจางกว่า ครีบท้องทั้งสองด้านมีลักษณะยาวคล้ายหนวด ลักษณะนิสัยค่อนข้างก้าวร้าว ชอบอยู่รวมฝูงกันเอง แต่ไม่ชอบรวมกลุ่มกับปลาชนิดอื่น ๆ หากเป็นฤดูผสมพันธุ์ปลาจะยิ่งทวีความก้าวร้าวมากขึ้น ,ภาพและข้อมูล: อรุณี รอดลอยและคณะ,ปลาสวยงามเลี้ยงในตู้พรรณไม้น้ำ
กระดี่แคระ,Dwarf gourami ,Trichogaster lalia,Osphronemidae,ประเทศอินเดียบัง คลาเทศ และปากีสถาน,เป็นปลากระดี่สวยงามต่างประะเทศที่สามารถเลี้ยงในตู้ที่มีพรรณไม้น้ำ ตู้ธรรมดาที่ตกแต่งอย่างสวยงามและยังเลี้ยงร่วมปลาชนิดอื่นได้ ลักษณะมีลำตัวเพรียวแบนข้าง พื้นลำตัวมีสีน้ำตาล แดง อมเขียว มีแถบลายแดงคาดอย่างเป็นระเบียบ เกล็ดเล็กละเอียด ครีบอกเรียวยาวคล้ายหนวด ชอบลอยตัวอยู่นิ่ง ๆ อยู่ที่ระดับผิวน้ำ มีอวัยวะพิเศษช่วยหายใจ โดยใช้วิธีฮุบอากาศ เหนือผิวน้ำเพื่อหายใจ ไม่ต้องผ่านช่องเหงือก จึงสามารถดำรงชีวิตได้ เมื่ออยู่ในที่แคบ ๆ หรือที่ที่มีปริมาณ ออกซิเจนต่ำ,ภาพและข้อมูล: อรุณี รอดลอยและคณะ,ปลาสวยงามเลี้ยงในตู้พรรณไม้น้ำ
"หมอจำปะ, หมอจำปา",Malay combtail,Belontia hasselti ,Osphronemidae,พบเฉพาะในถิ่นอาศัยแบบพรุดั้งเดิม ตั้งแต่พรุโต๊ะแดงถึงสุมาตราและบอร์เนียว ,สามารถเลี้ยงในตู้ขนาดกลางที่ตกแต่งด้วยก้อนหิน ขอนไม้และพรรณไม้น้ำ เลี้ยงรวมกับปลาชนิดอื่นที่มีขนาดใกล้เคียงกันได้ มีขนาดใหญ่สุดที่พบความยาวประมาณ 20 ซม. ในธรรมชาติกิน กุ้ง แมลง แพลงก์ตอนสัตว์ เป็นอาหาร มีรูปร่างเป็นรูปไข่ค่อนข้างทรงเหลี่ยมคล้ายปลาหมอแต่กว้างกว่า ลำตัวแบนข้างมาก หัวโต ตาโต ปากเล็ก มีเกล็ดใหญ่ เส้นข้างตัวไม่ต่อเนื่องกัน ครีบหลังและครีบก้นมีฐานยาว มีก้านครีบแข็งที่ครีบหลัง 12-13 อัน ที่ครีบก้น 16 อัน ปลายครีบหลังและครีบก้นเรียวแหลม โดยเฉพาะในตัวผู้จะมีครีบยาวใหญ่กว่าตัวเมีย ครีบหางมีปลายมน ครีบท้องเล็กมีปลายของก้านครีบเรียวเป็นเส้นยาว 2 เส้น ตัวมีสีเหลืองทองหรือเหลืองคล้ำ ถึงน้ำตาลแดง ขอบเกล็ดมีสีคล้ำและที่ฐานครีบหลังตอนท้ายมีจุดสีดำ ครีบหลังและครีบก้นตอนหน้าสีคล้ำ ตอนท้ายรวมถึงครีบหางมีลายเส้นเป็นตาข่าย ,ภาพ: อรุณี รอดรอย ข้อมูล:สุจินต์ หนูขวัญ และอรุณี รอดรอย,ปลาไทย
หมูลายเสือ ,"Tiger spiny loach, Tiger  botia, Chameleon botia",Botia beauforti ,Cobitidae,แม่น้ำเจ้าพระยาและสาขา  แม่น้ำท่าดี จังหวัดนครศรีธรรมราช ,เป็นปลาหมูสวยงามที่สามารถเลี้ยงในตู้ขนาดเล็กร่วมกับปลาชนิดอื่นได้  ตกแต่งตู้ด้วยก้อนหินหรือขอนไม้ อุปนิสัยมักหลบตามที่หลบซ่อน วัสดุตกแต่งไม่ควรมีรูขนาดเล็ก เมื่อปลาตกใจจะมุดเข้าไปติดแล้วออกไม่ได้ มีความยาวเฉลี่ยน 7 ซม. ลักษณะมีรูปร่างป้อม  ลำตัวแบนข้าง หัวเรียวแหลม  ปากแหลม ลำตัวเป็นสีเทาปนเหลือง หรืออมเขียว มีแถบคาดตามลำตัวคล้ายลายเสือ และมีจุดดำเรียงเป็นแถวตลอดลำตัว ครีบทุกครีบมีสีเหลืองอมส้ม  ครีบหลังและครีบหางมีสีส้มและมีแถบดำและจุดดำกระจายทั่ว   หากินตามพื้นท้องน้ำตามโขดหินและก้อนหิน ,ภาพ: ชาลทอง ภู่นิยม ข้อมูล:สุจินต์ หนูขวัญ และอรุณี รอดรอย,ปลาไทย
หมูข้างลาย ,Tiger loach,Botia hymenophysa ,Cobitidae,แหล่งน้ำไหล แม่น้ำ ลำคลอง ชอบซุกซ่อนตามตอไม้ ซอกหิน และพื้นดินโคลน,เป็นปลาหมูที่สามารถเลี้ยงในตู้ขนาดเล็กร่วมกับปลาชนิดอื่นได้  ตกแต่งตู้ด้วยก้อนหินหรือขอนไม้ อุปนิสัยมักหลบตามที่หลบซ่อน วัสดุตกแต่งไม่ควรมีรูขนาดเล็ก เมื่อปลาตกใจจะมุดเข้าไปติดแล้วออกไม่ได้ หากินตามพื้นท้องน้ำตามโขดหินและก้อนหิน มีขนาดความยาวเฉลี่ย 10-15 ซม. ลำตัวเรียวแบนทางด้านข้าง ปากแหลมสีชมพู ลำตัวเป็นสีเทาปนเหลือง มีสีน้ำเงินแกมเขียวประเป็นจุด ๆ และมีแถบคาดตามลำตัว 11-14 แถบ คล้ายลายเสือ ครีบทุกครีบมีสีส้มเหลือง ,ภาพ: อรุณี รอดรอย ข้อมูล:สุจินต์ หนูขวัญ และอรุณี รอดรอย,ปลาไทย
"หมูขาว, หมูเหลือง, หมูมัน","Yellow-tail, Orange-fin loach",Botia modesta ,Cobitidae,แม่น้ำและอ่างเก็บน้ำในภาคกลาง ภาคเหนือ และภาคตะวันออกเฉียงเหนือของประเทศไทย,เป็นปลาหมูที่มีขนาดใหญ่ที่สุดในสกุลปลาหมูที่พบในประเทศไทย ขนาดใหญ่ที่สุดเท่าที่เคยสำรวจพบมีความยาวถึง 23.5 ซม. ขนาดความยาวเฉลี่ยประมาณ 12 ซม. ตู้ที่ใช้เลี้ยงควรมีขนาดใหญ่ให้พอเหมาะกับอัตราการเจริญเติบโตของปลา ลักษณะมีลำตัวแบนข้างเล็กน้อยและค่อนข้างป้อมกว่าปลาหมูชนิดอื่น ๆ สีลำตัวเป็นสีเทาหรือเทาอมเขียว บริเวณด้านหลังสีเข้มกว่าด้านข้างลำตัว ท้องสีเหลืองอ่อนหรือขาว บริเวณโคนหางมีจุดสีดำ สำหรับปลาวัยอ่อนที่ยังไม่โตเต็มที่ จนมีแถบสีดำเล็ก ๆ พาดขวางลำตัว 4-5 แถบ และเมื่อปลามีอายุมากขึ้นแถบเหล่านี้จะหายไป จะงอยปากค่อนข้างยาว ปลายจะงอยปากมีหนวด 2 คู่ และมุมปากมีหนวดอีก 1 คู่ ปากอยู่ปลายสุดและอยู่ในระดับต่ำ บริเวณหน้าตามีหนามแหลมปลายแยกเป็น 2 แฉก ขนาดใหญ่และแข็งแรง ครีบทุกครีบไม่มีก้านครีบแข็ง ครีบหลังครีบก้น และครีบหางมีสีเหลืองจนถึงสีส้มหรือแดง โดยเฉพาะครีบหางจะมีสีสดกว่าครีบอื่น ๆ ครีบอกและครีบท้องสีเหลืองจาง ๆ,ภาพ: อรุณี รอดรอย ข้อมูล:สุจินต์ หนูขวัญ และอรุณี รอดรอย,ปลาไทย
"หมูค้อ, หมูคอก",Skunk botia,Botia morleti ,Cobitidae,แม่น้ำแม่กลอง เจ้าพระยาและแม่น้ำโขง,เป็นปลาหมูขนาดกลาง ขนาดความยาวเฉลี่ยประมาณ 9 ซม. สามารถเลี้ยงในตู้ขนาดเล็กร่วมกับปลาชนิดอื่นได้  ตกแต่งตู้ด้วยก้อนหินหรือขอนไม้ อุปนิสัยมักหลบตามที่หลบซ่อน วัสดุตกแต่งไม่ควรมีรูขนาดเล็ก เมื่อปลาตกใจจะมุดเข้าไปติดแล้วออกไม่ได้ มีรูปร่างป้อมสั้น ลำตัวแบนข้าง หลังโค้ง ครีบหลังอยู่ตรงข้ามครีบท้อง พื้นลำตัวสีเขียวแกมเหลือง ท้องสีขาวซีด มีแถบดำพาดตามแนวหลังจากปลายจะงอยปากจรดโคนหาง มีแถบดำขนาดใหญ่พาดขวางคอดหาง ครีบหางสีเหลืองจาง ๆ มีจุดดำเล็ก ๆ ประปราย,ภาพ: อรุณี รอดรอย ข้อมูล:สุจินต์ หนูขวัญ และอรุณี รอดรอย,ปลาไทย
หมูน่าน,Mekong clawn loach,Botia nigrolineata ,Cobitidae,พบที่แม่น้ำว้า อำเภอแม่จริม จังหวัดน่าน,เป็นปลาหมูขนาดกลาง ขนาดความยาวเฉลี่ยประมาณ 10 ซม. สามารถเลี้ยงในตู้ขนาดเล็กร่วมกับปลาชนิดอื่นได้  ตกแต่งตู้ด้วยก้อนหินหรือขอนไม้ อุปนิสัยมักหลบตามที่หลบซ่อน วัสดุตกแต่งไม่ควรมีรูขนาดเล็ก เมื่อปลาตกใจจะมุดเข้าไปติดแล้วออกไม่ได้ มีรูปร่างและสีสันคล้ายคลึงปลาหมูอารีย์ (Botia sidthimunki) ซึ่งเป็นปลาที่อยู่ในสกุลเดียว กัน แต่ปลาหมูน่านลายจะเป็นแถบยาว เมื่อปลามีขนาดใหญ่ขึ้น ลายตามยาวจะขาดเป็นท่อน ๆ และจะเกิดลายขวางเพิ่มมากขึ้น โดยที่ลายแถบของปลาหมูน่านจะมีราว 8-10 แถบ ในขณะที่ปลาหมูอารีย์ ซึ่งจะมีแค่ 5-8 แถบ ดังนั้นเมื่อมองด้วยตาเปล่าแล้วจะพบว่า ลายเส้นของปลาหมูน่านจะใหญ่และหนากว่าของปลาหมูอารีย์ อีกทั้งเมื่อโตเต็มที่แล้วจะมีขนาดลำตัวใหญ่กว่าปลาหมูอารีย์ ,ภาพ: อรุณี รอดรอย ข้อมูล:สุจินต์ หนูขวัญ และอรุณี รอดรอย,ปลาไทย
หมูอารีย์,"Dwarf botia, Dwarf loach, Chain botia",Botia sidthimunki ,Cobitidae,แม่น้ำแม่กลอง แม่น้ำโขง และสาขา,เป็นหนึ่งในปลาที่เป็นสัตว์ป่าคุ้มครองของประเทศไทยที่อนุญาติให้เพาะพันธุ์ในที่เลี้ยงได้ เป็นปลาที่ถูกค้นพบโดยคุณดำริ สุขอร่าม เมื่อปี พ.ศ. 2502 บริเวณลุ่มน้ำแม่กลอง ระหว่างเขตจังหวัดราชบุรีและกาญจนบุรี  ถูกตั้งชื่อให้เป็นเกียรติแก่คุณอารีย์ สิทธิมังค์ รองอธิบดีกรมประมงในขณะนั้น จึงมีชื่อสามัญว่าปลาหมูอารีย์ เป็นปลาได้รับความนิยมเลี้ยงเป็นปลาสวยงาม เพราะมีสีสันสวยงามและหายากที่สุดในสกุลปลาหมูนี้เพราะใกล้จะสูญพันธุ์ไปจากแหล่งน้ำธรรมชาติของประเทศไทย เป็นปลาหมูขนาดเล็กขนาดใหญ่สุดมีความยาวประมาณ 6 ซม. ลักษณะลำตัวแบนข้างเล็กน้อย ค่อนข้างยาวเรียว สีลำตัวเหลืองนวลหรือขาว ถ้ามองจากด้านบนจะเห็นแถบสีดำพาดไปตามความยาวลำตัวตามแนวสันหลังจากหัวไปถึงโคนหาง 2 แถบ ขนานไปกับแนวครีบหลังและระหว่างแถบทั้ง 2 นี้ จะมีแถบสำดำเล็ก ๆ เชื่อมติดต่อกันเป็นระยะ ๆ ทำให้เห็นเป็นจุดสีขาวหรือสีเหลืองนวลขอบดำ บริเวณด้านข้างตัวมีแถบสีดำพาดไปตามความยาวลำตัวจากปลายจะงอยปากผ่านตาไปถึงโคนครีบหางอีก 1 แถบ ระหว่างแถบสีดำด้านข้างลำตัวกับแถบที่อยู่แนวสันหลังจะมีแถบสีดำเล็ก ๆ เชื่อมติดต่อกันเป็นระยะ ๆ เช่นเดียวกัน และจะทำให้เห็นเป็นจุดสีขาวหรือเหลืองนวลขอบดำประมาณ 6 จุด อยู่ในแนวเหนือเส้นข้างตัว ปากขนาดเล็กอยู่ปลายสุด มีหนวดสั้น ๆ 3 คู่ บริเวณหน้าตามีหนามแหลมปลายแยกเป็น 2 แฉก ซึ่งเป็นลักษณะเด่นของปลาในสกุลนี้ ครีบทุกครีบใสโปร่งแสงยกเว้นครีบหางจะมีจุดสีดำบนแพนหางบนและล่าง,ภาพ: อรุณี รอดรอย ข้อมูล:นภัทร์ โสภณ สุจินต์ หนูขวัญ และอรุณี รอดรอย,ปลาไทย
"หางไหม้, หางเหยี่ยว, หนามหลังหางดำ","Silver shark, Bala shark, Tricolor sharkminnow",Balantiocheilos melanopterus ,Cyprinidae,ประเทศอินโดนีเซีย มาเลเซีย และเขมร ในประเทศไทยปัจจุบันหายากมาก,เป็นปลาที่สามารถเลี้ยงเป็นฝูงในตู้ปลาขนาดใหญ่ ร่วมกับปลาชนิดอื่นๆ ตกแต่งตู้โดยใช้ก้อนหินหรือขอนไม้ ไม่นำพรรณไม้นำมาตกแต่ง เพราะเป็นปลาที่ชอบกินพืช เป็นปลาสวยงามที่ได้รับความนิยมสูง มีรูปร่างปราดเปรียวสวยงาม ว่ายน้ำรวดเร็วจึงมีชื่อเรียกอีกชื่อหนึ่งว่า “ฉลามหางไหม้” ปัจจุบันปลาที่มีจำหน่ายในประเทศไทยเป็นปลาที่นำพ่อแม่พันธุ์มาจากประเทศอินโดนีเซียแล้วนำมาเพาะพันธุ์โดยวิธีผสมเทียม ปลาหางไหม้ขนาดใหญ่สุดมีความยาวประมาณ 25 ซม. ลำตัวสีเงิน ครีบสีเหลืองอ่อน ขอบนอกของครีบทุกครีบยกเว้นครีบอกมีขอบสีดำค่อนข้างหนา บริเวณโคนหางและโคนหลังมีสีดำจาง ๆ ปากเล็กไม่มีฟัน ปากยึดหดได้ ริมฝีปากบนยื่นยาวกว่าริมฝีปากล่าง  ,ภาพ: อรุณี รอดรอย ข้อมูล:สุจินต์ หนูขวัญ และอรุณี รอดรอย,ปลาไทย
ยี่สกไทย,"Seven-stripped carp, Isok barb",Probarbus jullieni ,Cyprinidae,แม่น้ำสายใหญ่ เช่น แม่น้ำแม่กลอง แม่น้ำเจ้าพระยา แม่น้ำป่าสักและแม่น้ำโขง,เป็นปลาไทยที่หาได้ยากแล้วในแหล่งน้ำธรรมชาติ มีขนาดความยาวเฉลี่ยประมาณ 80 ซม. น้ำหนักเฉลี่ย 6-18 กก. ขนาดใหญ่สุดพบมีความยาวประมาณ 120 ซม. ในธรรมชาติกิน หอย ปู พืชน้ำ และตะไคร่น้ำ สามารถเลี้ยงเป็นฝูงในตู้ปลาขนาดใหญ่ อุปนิสัยชอบอมกรวดขนาดเล็กตามพื้นตู้แล้วพ่นออกมา และชอบยืดหดริมฝีปากบ่อยๆ ลักษณะมีลำตัวยาวเรียว แบนข้างเพียงเล็กน้อย เกล็ดบริเวณลำตัวจะมีสีเหลืองนวลหรือเหลืองทองและมีแถบสีน้ำตาลดำพาดไปตามความยาวลำตัว 6-8 แถบ สีบริเวณหัวเป็นสีเหลืองแกมเขียว ปากอยู่ต่ำ ริมฝีปากยืดหดได้ มีฟันในคอหอย มีหนวดสั้นที่ขากรรไกรบน 1 คู่ ครีบอก ครีบท้องและครีบก้นเป็นสีชมพู ครีบหางสีดำ เป็นปลาที่มีขนาดใหญ่รองลงมาจากปลากระโห้  ,ภาพ: อรุณี รอดรอย ข้อมูล:สุจินต์ หนูขวัญ และอรุณี รอดรอย,ปลาไทย
"กดหม้อ, กดดำ, สิงห์ดำ",Black catfish,Hemibagrus wyckii ,Bagridae,แม่น้ำและอ่างเก็บน้ำขนาดใหญ่ในภาคกลาง ภาคเหนือและภาคตะวันออกเฉียงเหนือของประเทศไทย ,เป็นปลาขนาดใหญ่ขนาดโตเต็มที่มีความยาวประมาณ 80 ซม.  เลี้ยงในตู้ขนาดใหญ่ตกแต่งด้วยกรวดและก้อนหิน กินปลาขนาดเล็ก ซากสัตว์ เป็นปลาชอบหากินในเวลากลางคืน กลางวันมักจะหลบซ่อนที่กำบังเป็นอาหารควรเลี้ยงกับปลาที่มีขนาดใกล้เคียงกันเพื่อหลีกเลี่ยงการโดนกิน ลักษณะลำตัวเพรียว  หัวแบนและกว้าง สีลำตัวบริเวณด้านหลังและด้านข้างลำตัวเป็นสีม่วงดำหรือดำ บริเวณท้องสีขาว ครีบหลังมี 2 อัน ครีบหลังอันแรกมีก้านครีบหยักเป็นฟันซี่เลื่อย ส่วนครีบหลังอันที่ 2 เป็นครีบไขมัน ครีบหางเว้าลึก ขอบบนและขอบล่างของครีบหางมีสีขาวหรือสีครีม ส่วนหน้าของครีบและครีบก้นก็มีสีขาวหรือสีครีมเช่นเดียวกัน ปากกว้างมาก จะงอยปากป้าน มีหนวด 4 คู่  ,ภาพ: อรุณี รอดรอย ข้อมูล:สุจินต์ หนูขวัญ และอรุณี รอดรอย,ปลาไทย
"แขยงธง, แขยงธงเผือก",Bocourt’s river catfish,Mystus bocourti,Bagridae,ลุ่มน้ำเจ้าพระยา แม่น้ำแม่กลอง แม่น้ำโขง,"เป็นปลาขนาดกลางขนาดเฉลี่ยความยาวประมาณ 15 ซม. สามารถเลี้ยงในตู้ร่วมกับปลาไม่มีเกล็ดชนิดอื่นที่มีขนาดใกล้เคียงกัน   จัดตู้ โดยวางวัสดุตกแต่งประเภทก้อนหินหรือขอนไม้ เพื่อให้มีที่หลบซ่อน ลักษณะมีรูปร่างยาว ลำตัวแบนข้างมาก หัวเล็กแหลม หนวดที่มุมปากยาวถึงหาง กระโดงหลังยาวไม่มีหยัก ครีบไขมันยาวอยู่ชิดกับครีบหลัง ตาค่อนข้างโต ครีบหางเป็นแฉกเว้าลึก แฉกบนยาวกว่าแฉกล่าง พื้นลำตัวมีสีเหลืองอมเขียว ครีบหลังและครีบท้องสีเขียว บริเวณฐานของครีบมีสีแดง ครีบไขมันและครีบหางสีเขียว

",ภาพ: อรุณี รอดรอย ข้อมูล:สุจินต์ หนูขวัญ และอรุณี รอดรอย,ปลาไทย
แขยงใบข้าว,Long-fatty finned mystus,Mystus singaringan ,Bagridae,แหล่งน้ำไหล เช่น แม่น้ำ ลำคลอง และลำธาร ทุกภาคของประเทศไทย ,เป็นปลาแขยงขนาดกลางมีความยาวเฉลี่ยประมาณ 20 ซม. สามารถเลี้ยงในตู้ร่วมกับปลาไม่มีเกล็ดชนิดอื่นที่มีขนาดใกล้เคียงกัน จัดตู้โดยวางวัสดุตกแต่งประเภทก้อนหินหรือขอนไม้ เพื่อให้มีที่หลบซ่อน ลักษณะมีลำตัวค่อนข้างกลมและยาวแบนข้างเล็กน้อย หลังโค้ง หัวค่อนข้างเล็ก ปากทู่ มีหนวด 4 คู่ เฉพาะคู่ที่ริมฝีปากยาวจรดโคนหาง ครีบไขมันยาวถึงโคนครีบหลัง หางเป็นแฉกลึก แฉกบนยาวกว่าแฉกล่าง พื้นลำตัวสีเหลืองอ่อนอมเทาหรือเขียวมะกอก ส่วนท้องสีจาง,ปลาขนาดเล็ก ลูกกุ้ง แมลงน้ำ ซากสัตว์ และพืชที่เน่าเปื่อย,ปลาไทย
แขยงข้างลาย ,"Blue-stripped catfish, Striped dwarf catfish",Mystus vittatus ,Bagridae,แม่น้ำ อ่างเก็บน้ำทั่วทุกภาคของไทย และในประเทศอินเดีย พม่า ศรีลังกา,เป็นปลาแขยงขนาดกลาง มีความยาวเฉลี่ยประมาณ 13 ซม. สามารถเลี้ยงในตู้ร่วมกับปลาไม่มีเกล็ดชนิดอื่นที่มีขนาดใกล้เคียงกัน  จัดตู้โดยวางวัสดุตกแต่งประเภทก้อนหินหรือขอนไม้ เพื่อให้มีที่หลบซ่อน กินปลาขนาดเล็ก ลูกกุ้ง แมลงน้ำ ซากสัตว์ และพืชที่เน่าเปื่อย เป้นอาหาร ลักษณะพื้นลำตัวสีเทาเงินหรือสีน้ำตาลเทา ส่วนหัวและแผ่นหลังมีสีคล้ำกว่าข้างลำตัว ใต้ท้องสีขาว ข้างลำตัวมีแถบลายเส้นสีน้ำตาลเทา 2 แถบ คาดตามยาวจากหลังเหงือกจรดโคนหาง หลังช่องเหงือกมีจุดสีดำล้อมรอบด้วยวงแหวนสีขาว ส่วนหัวใหญ่ ครีบแต่ละครีบลักษณะโปร่งใสมีสีดำแซมประปราย,ภาพ: อรุณี รอดรอย ข้อมูล:สุจินต์ หนูขวัญ และอรุณี รอดรอย,ปลาไทย
แขยงนวล,,Mystus wolffi ,Bagridae,แม่น้ำเจ้าพระยา แม่น้ำบางปะกง แม่น้ำตาปี และในประเทศแถบเอเชียตะวันออกเฉียงใต้ ,เป็นปลาแขยงขนาดกลาง โตเต็มที่มีขนาดประมาณ 20 ซม. มีความยาวเฉลี่ยประมาณ 12 ซม. สามารถเลี้ยงในตู้ร่วมกับปลาไม่มีเกล็ดชนิดอื่นที่มีขนาดใกล้เคียงกัน จัดตู้โดยวางวัสดุตกแต่งประเภทก้อนหินหรือขอนไม้ เพื่อให้มีที่หลบซ่อน ลักษณะมีรูปร่างค่อนข้างสั้น ส่วนหัวโตปากเล็กมีหนวด 4 คู่ ครีบอกและครีบหลังเป็นก้านแข็ง ครีบไขมันค่อนข้างสั้น ครีบหางเว้าลึก ลำตัวมีสีเทาเขียวมะกอกหรือเหลืองทอง ด้านท้องสีเขียวอ่อน,ภาพ: อรุณี รอดรอย ข้อมูล:สุจินต์ หนูขวัญ และอรุณี รอดรอย,ปลาไทย
